cellCode,lme_id,lme_name
10kmE432N223,13,Mediterranean Sea
10kmE432N224,13,Mediterranean Sea
10kmE432N225,13,Mediterranean Sea
10kmE432N226,13,Mediterranean Sea
10kmE432N227,13,Mediterranean Sea
10kmE432N228,13,Mediterranean Sea
10kmE432N229,13,Mediterranean Sea
10kmE432N230,13,Mediterranean Sea
10kmE432N231,13,Mediterranean Sea
10kmE432N232,13,Mediterranean Sea
10kmE432N348,1,Baltic Sea
10kmE432N349,1,Baltic Sea
10kmE432N350,1,Baltic Sea
10kmE432N351,1,Baltic Sea
10kmE432N352,1,Baltic Sea
10kmE432N353,1,Baltic Sea
10kmE432N354,1,Baltic Sea
10kmE432N355,1,Baltic Sea
10kmE432N356,1,Baltic Sea
10kmE432N360,3,North Sea
10kmE432N361,3,North Sea
10kmE432N362,3,North Sea
10kmE432N363,3,North Sea
10kmE432N364,3,North Sea
10kmE432N372,3,North Sea
10kmE432N373,3,North Sea
10kmE432N376,3,North Sea
10kmE432N377,3,North Sea
10kmE432N383,3,North Sea
10kmE432N384,3,North Sea
10kmE432N385,3,North Sea
10kmE432N386,3,North Sea
10kmE432N387,3,North Sea
10kmE432N388,3,North Sea
10kmE432N389,3,North Sea
10kmE432N390,3,North Sea
10kmE432N391,3,North Sea
10kmE432N392,3,North Sea
10kmE432N393,3,North Sea
10kmE432N394,3,North Sea
10kmE432N395,3,North Sea
10kmE432N396,3,North Sea
10kmE432N397,3,North Sea
10kmE432N398,3,North Sea
10kmE432N399,3,North Sea
10kmE432N446,53,Norwegian Sea
10kmE432N447,53,Norwegian Sea
10kmE432N448,53,Norwegian Sea
10kmE432N449,53,Norwegian Sea
10kmE432N451,53,Norwegian Sea
10kmE432N453,53,Norwegian Sea
10kmE432N454,53,Norwegian Sea
10kmE432N455,53,Norwegian Sea
10kmE432N456,53,Norwegian Sea
10kmE432N457,53,Norwegian Sea
10kmE432N458,53,Norwegian Sea
10kmE432N459,53,Norwegian Sea
10kmE432N460,53,Norwegian Sea
10kmE432N461,53,Norwegian Sea
10kmE432N462,53,Norwegian Sea
10kmE432N463,53,Norwegian Sea
10kmE432N464,53,Norwegian Sea
10kmE432N465,53,Norwegian Sea
10kmE432N466,53,Norwegian Sea
10kmE432N467,53,Norwegian Sea
10kmE432N468,53,Norwegian Sea
10kmE432N469,53,Norwegian Sea
10kmE432N470,53,Norwegian Sea
10kmE432N471,53,Norwegian Sea
10kmE432N472,53,Norwegian Sea
10kmE432N473,53,Norwegian Sea
10kmE432N474,53,Norwegian Sea
10kmE432N475,53,Norwegian Sea
10kmE432N476,53,Norwegian Sea
10kmE432N477,53,Norwegian Sea
10kmE432N478,53,Norwegian Sea
10kmE432N479,53,Norwegian Sea
10kmE432N480,53,Norwegian Sea
10kmE432N481,53,Norwegian Sea
10kmE432N482,53,Norwegian Sea
10kmE432N483,53,Norwegian Sea
10kmE432N484,53,Norwegian Sea
10kmE432N485,53,Norwegian Sea
10kmE432N486,53,Norwegian Sea
10kmE432N487,53,Norwegian Sea
10kmE432N488,53,Norwegian Sea
10kmE432N489,53,Norwegian Sea
10kmE432N490,53,Norwegian Sea
10kmE432N491,53,Norwegian Sea
10kmE432N492,53,Norwegian Sea
10kmE432N493,53,Norwegian Sea
10kmE432N494,53,Norwegian Sea
10kmE432N495,53,Norwegian Sea
10kmE432N496,53,Norwegian Sea
10kmE432N497,53,Norwegian Sea
10kmE432N498,53,Norwegian Sea
10kmE432N499,53,Norwegian Sea
10kmE432N500,53,Norwegian Sea
10kmE432N501,53,Norwegian Sea
10kmE432N502,53,Norwegian Sea
10kmE432N503,53,Norwegian Sea
10kmE432N504,53,Norwegian Sea
10kmE432N505,53,Norwegian Sea
10kmE432N506,53,Norwegian Sea
10kmE432N507,53,Norwegian Sea
10kmE432N508,53,Norwegian Sea
10kmE432N509,53,Norwegian Sea
10kmE432N510,53,Norwegian Sea
10kmE432N511,53,Norwegian Sea
10kmE432N512,53,Norwegian Sea
10kmE432N513,53,Norwegian Sea
10kmE432N514,53,Norwegian Sea
10kmE432N515,53,Norwegian Sea
10kmE432N516,53,Norwegian Sea
10kmE432N517,53,Norwegian Sea
10kmE432N518,53,Norwegian Sea
10kmE432N519,53,Norwegian Sea
10kmE432N520,53,Norwegian Sea
10kmE432N521,53,Norwegian Sea
10kmE432N522,53,Norwegian Sea
10kmE432N523,53,Norwegian Sea
10kmE432N524,53,Norwegian Sea
10kmE432N525,53,Norwegian Sea
10kmE432N526,53,Norwegian Sea
10kmE432N527,53,Norwegian Sea
10kmE432N528,53,Norwegian Sea
10kmE432N529,53,Norwegian Sea
10kmE432N530,53,Norwegian Sea
10kmE432N531,53,Norwegian Sea
10kmE432N532,53,Norwegian Sea
10kmE432N533,53,Norwegian Sea
10kmE432N534,53,Norwegian Sea
10kmE432N535,53,Norwegian Sea
10kmE432N536,53,Norwegian Sea
10kmE432N537,53,Norwegian Sea
10kmE432N538,53,Norwegian Sea
10kmE432N539,53,Norwegian Sea
10kmE432N540,53,Norwegian Sea
10kmE432N541,53,Norwegian Sea
10kmE432N542,53,Norwegian Sea
10kmE432N543,53,Norwegian Sea
10kmE432N544,53,Norwegian Sea
10kmE432N545,53,Norwegian Sea
10kmE432N546,53,Norwegian Sea
10kmE432N547,53,Norwegian Sea
10kmE432N548,53,Norwegian Sea
10kmE432N549,53,Norwegian Sea
10kmE432N550,53,Norwegian Sea
10kmE432N551,53,Norwegian Sea
10kmE432N552,53,Norwegian Sea
10kmE432N553,53,Norwegian Sea
10kmE432N554,53,Norwegian Sea
10kmE432N555,53,Norwegian Sea
10kmE432N556,53,Norwegian Sea
10kmE432N557,53,Norwegian Sea
10kmE432N558,53,Norwegian Sea
10kmE432N559,53,Norwegian Sea
10kmE432N560,53,Norwegian Sea
10kmE432N561,53,Norwegian Sea
10kmE432N562,53,Norwegian Sea
10kmE432N563,53,Norwegian Sea
10kmE432N564,53,Norwegian Sea
10kmE432N565,53,Norwegian Sea
10kmE432N566,53,Norwegian Sea
10kmE432N567,53,Norwegian Sea
10kmE432N568,53,Norwegian Sea
10kmE432N569,53,Norwegian Sea
10kmE432N570,53,Norwegian Sea
10kmE432N571,53,Norwegian Sea
10kmE432N572,53,Norwegian Sea
10kmE432N573,53,Norwegian Sea
10kmE432N574,53,Norwegian Sea
10kmE432N575,53,Norwegian Sea
10kmE432N576,53,Norwegian Sea
10kmE432N577,53,Norwegian Sea
10kmE432N578,53,Norwegian Sea
10kmE432N579,53,Norwegian Sea
10kmE432N580,53,Norwegian Sea
10kmE432N581,53,Norwegian Sea
10kmE432N582,53,Norwegian Sea
10kmE432N583,53,Norwegian Sea
10kmE432N584,53,Norwegian Sea
10kmE432N585,53,Norwegian Sea
10kmE432N586,53,Norwegian Sea
10kmE432N587,53,Norwegian Sea
10kmE432N588,53,Norwegian Sea
10kmE432N589,53,Norwegian Sea
10kmE432N590,53,Norwegian Sea
10kmE432N591,53,Norwegian Sea
